ankle_time,ankle_position,ankle_velocity,ankle_acceleration,ankle_torque,ankle_torqueFirstDerivative,ankle_torqueSecondDerivative,knee_time,knee_position,knee_velocity,knee_acceleration,knee_torque,knee_torqueFirstDerivative,knee_torqueSecondDerivative
0,-0.153754721866173,-3.94146662564803,-13.3888726129371,-0.00957957372157155,-0.260586725633583,-227.204923052545,0,0.508791389151872,5.91652607127114,-32.4405322628445,-0.307141955129102,18.6169058829184,526.572383162253
0.00220953177257525,-0.162430835162827,-3.94146662564803,-13.3888726129371,-0.00960073767182696,-0.260586725633583,-227.204923052545,0.00220953177257525,0.521943329326086,5.91652607127114,-32.4405322628445,-0.26729268133183,18.6169058829184,526.572383162253
0.0044190635451505,-0.171172313346001,-3.97095937742623,-13.3070564922818,-0.0107311230211691,-0.763134224070548,-227.685569742891,0.0044190635451505,0.534936893827359,5.84464978335569,-32.6196662892471,-0.224872665018399,19.7798208079903,526.062332940041
0.00662859531772575,-0.179978756986885,-3.99898777084987,-12.0633806035112,-0.0129730763014738,-1.2748858236288,-235.536191455674,0.00662859531772575,0.547771208117885,5.76949408674606,-35.4089518482942,-0.179884396269631,20.9322813600749,517.109407234962
0.008838127090301,-0.188844094421667,-4.02363515333074,-10.2466696856936,-0.0163649244885962,-1.80881501335878,-247.76004022302,0.008838127090301,0.56043265482006,5.68665247344065,-39.5767209839833,-0.132371583543259,22.0580902876502,501.938104594305
0.0110476588628763,-0.197759456411955,-4.04292816774308,-7.21677180159895,-0.0209663447869285,-2.37970494565261,-268.991915444445,0.0110476588628763,0.572900886757206,5.59138864986841,-46.6531533764064,-0.0824082936038372,23.1369541334494,474.616167392295
0.0132571906354515,-0.206710050903402,-4.05527668422391,-3.96072438477859,-0.026880991862144,-3.00156402352004,-293.895738479303,0.0132571906354515,0.585141356569462,5.47957046193383,-54.5612209289975,-0.0301279129863132,24.1471363171204,439.769582755685
0.0154667224080268,-0.215679981772708,-4.05982672071337,-0.15782828409283,-0.0342304469417012,-3.68511832405446,-324.836527803267,0.0154667224080268,0.597115456828622,5.348475867682,-64.1015617283992,0.0242994362149294,25.0681115419774,393.86878016634
0.017676254180602,-0.224650683164534,-4.05654652529496,3.12695998802519,-0.0431657639075392,-4.43679485084759,-355.557876226541,0.017676254180602,0.608776611298453,5.19702136091658,-72.9903856654128,0.0806496648746054,25.8821994527554,343.018483354816
0.0198857859531773,-0.233606118641846,-4.04622011758815,6.22018571494118,-0.0538369253243932,-5.25812394223952,-387.883880607445,0.0198857859531773,0.620081424468017,5.02581612095221,-81.9793161414418,0.138674520284915,26.5758244830668,284.829496855898
0.0220953177257525,-0.242531186981823,-4.03025288124469,8.23286405936233,-0.0664017477365729,-6.14617044911904,-415.948422599935,0.0220953177257525,0.630986012103182,4.8368342062976,-89.0812832129013,0.198089922030044,27.1394906898163,225.383765289276
0.0243048494983278,-0.251416062227092,-4.01048745388537,9.65819105434639,-0.0809972430983765,-7.09410324874063,-442.091105400836,0.0243048494983278,0.641455702183003,4.63308789892278,-95.3435889737739,0.258605654226233,27.5678456606762,162.349940264678
0.026514381270903,-0.260253785887571,-3.98893686359671,9.84873847357812,-0.0977510407886163,-8.09235581726428,-461.496325125383,0.026514381270903,0.65145992193879,4.41812022014346,-99.2385224468599,0.319913983807473,27.8589299368342,101.130567027358
